iter	Passed	Remaining
0	244	11981
1	307	7381
2	377	5906
3	432	4969
4	488	4399
5	547	4017
6	602	3700
7	657	3451
8	721	3288
9	779	3118
10	861	3053
11	1046	3312
12	1105	3146
13	1192	3067
14	1267	2956
15	1330	2827
16	1388	2696
17	1443	2567
18	1506	2458
19	1560	2340
20	1613	2228
21	1667	2121
22	1735	2037
23	1861	2016
24	1996	1996
25	2055	1897
26	2106	1794
27	2183	1715
28	2233	1617
29	2287	1524
30	2355	1443
31	2412	1357
32	2473	1274
33	2539	1195
34	2587	1108
35	2646	1029
36	2707	951
37	2761	872
38	2833	799
39	2910	727
40	2972	652
41	3038	578
42	3089	502
43	3160	430
44	3210	356
45	3269	284
46	3323	212
47	3474	144
48	3566	72
49	3629	0
